Total distance of trees to cable roads,Productivity cost per m3 as per Stampfer,Total distance from carriage to support,overall_profit,cable_road_costs,profit_comparison,name,cost_objective,ecological_distances,ergonomics_distances,selected_lines,ecological_distances_RNI,ergonomics_distances_RNI,cost_objective_RNI
6943.3812879617,25992.720731710506,43312.343698749115,38106.43281993554,2261.1679523539487,1755.560023817714,model0,28253.888684064455,3082.6294602288012,3690.6151030956503,[ 1 25 35 60],96,96,100
6662.548382706762,27323.576212003405,43642.02039366417,36350.87279611782,2685.8724958787643,0.0,model1,30009.44870788217,3008.974000762526,3643.616458386571,[14 25 35 52 60],98,97,94
6675.574879149532,26062.91773618511,43395.97460106661,37591.301614185686,2706.1021536291983,1240.4288180678632,model2,28769.01988981431,2996.6681102845614,3603.938883401918,[ 1 25 35 52 60],98,98,98
6943.3812879617,25992.720731710506,43312.343698749115,38106.43281993554,2261.1679523539487,1755.560023817714,model,28253.888684064455,3082.6294602288012,3690.6151030956503,[ 1 25 35 60],96,96,100
6943.3812879617,25992.720731710506,43312.343698749115,38106.43281993554,2261.1679523539487,1755.560023817714,NSGA2 0,28253.888684064455,3082.6294602288012,3690.6151030956503,[ 1 25 35 60],96,96,100
6662.1865039811955,25695.594951769046,43390.83295835716,37801.60230932146,2863.1242429094855,1450.729513203638,NSGA2 1,28558.71919467853,2996.6681102845614,3603.938883401918,[ 1 25 28 35 60],98,98,98
6652.4521622988705,25812.152388451097,43292.734483080356,37841.416163143665,2706.752952405228,1490.5433670258426,NSGA2 2,28518.905340856327,3027.1874612632932,3649.539308782559,[ 1  5 25 35 60],97,97,99
6563.893915324558,25664.12951618345,43375.070784618976,37387.48274485578,3308.7092429607646,1036.6099487379543,NSGA2 3,28972.838759144215,2991.6822887016447,3599.595437329931,[ 1  5 25 28 35 60],99,99,97
6519.405968485914,25540.83687492305,43370.94921957031,37076.481026666384,3743.0036024105602,725.6082305485616,NSGA2 4,29283.84047733361,2964.630239164652,3567.201081033498,[ 0  1 18 25 28 35 60],100,100,96
